C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
2023-03-09 17:42:22,216 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,217 - STREAM b'IDAT' 41 18827
2023-03-09 17:42:22,231 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,232 - STREAM b'pHYs' 41 9
2023-03-09 17:42:22,232 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:22,267 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,267 - STREAM b'IDAT' 41 22702
2023-03-09 17:42:22,280 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,281 - STREAM b'pHYs' 41 9
2023-03-09 17:42:22,282 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:22,312 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,313 - STREAM b'IDAT' 41 18269
2023-03-09 17:42:22,326 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,328 - STREAM b'pHYs' 41 9
2023-03-09 17:42:22,328 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:22,790 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,791 - STREAM b'IDAT' 41 18223
2023-03-09 17:42:22,805 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,806 - STREAM b'pHYs' 41 9
2023-03-09 17:42:22,807 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:22,834 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,834 - STREAM b'IDAT' 41 22662
2023-03-09 17:42:22,846 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,847 - STREAM b'pHYs' 41 9
2023-03-09 17:42:22,847 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:22,875 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,876 - STREAM b'IDAT' 41 20932
2023-03-09 17:42:22,889 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,890 - STREAM b'pHYs' 41 9
2023-03-09 17:42:22,890 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:22,915 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,916 - STREAM b'IDAT' 41 19335
2023-03-09 17:42:22,927 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,929 - STREAM b'pHYs' 41 9
